musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Andy Pohl,12,3/5 07:44:00,16,3/5 11:52:00,16,4h 8m,5h 34m,3/5 02:10:00,7.19,Finger Lake
Alan Eischens,53,3/5 06:42:00,16,3/5 12:12:00,15,5h 30m,5h 0m,3/5 01:42:00,8.00,Finger Lake
DeeDee Jonrowe,39,3/5 08:46:00,16,3/5 12:19:00,16,3h 33m,5h 3m,3/5 03:43:00,7.92,Finger Lake
Larry Daugherty,14,3/5 08:00:00,15,3/5 12:28:00,15,4h 28m,5h 20m,3/5 02:40:00,7.50,Finger Lake
Meredith Mapes,16,3/5 12:19:00,16,3/5 12:31:00,15,0h 12m,10h 0m,3/5 02:19:00,4.00,Finger Lake
Jeff Deeter,45,3/5 12:42:00,16,3/5 12:44:00,16,0h 2m,9h 49m,3/5 02:53:00,4.07,Finger Lake
Matthew Failor,55,3/5 09:08:00,16,3/5 12:55:00,16,3h 47m,4h 32m,3/5 04:36:00,8.82,Finger Lake
Katherine Keith,51,3/5 08:58:00,15,3/5 13:00:00,15,4h 2m,5h 39m,3/5 03:19:00,7.08,Finger Lake
"Michael Williams, Jr.",27,3/5 08:22:00,16,3/5 14:36:00,16,6h 14m,4h 52m,3/5 03:30:00,8.22,Finger Lake
Brett Bruggeman,37,3/5 08:52:00,16,3/5 14:55:00,16,6h 3m,5h 21m,3/5 03:31:00,7.48,Finger Lake
Aaron Peck,50,3/5 09:14:00,16,3/5 14:58:00,16,5h 44m,5h 3m,3/5 04:11:00,7.92,Finger Lake
Jim Lanier,32,3/5 09:37:00,16,3/5 14:58:00,16,5h 21m,5h 8m,3/5 04:29:00,7.79,Finger Lake
Rob Cooke,10,3/5 09:28:00,16,3/5 15:31:00,16,6h 3m,6h 16m,3/5 03:12:00,6.38,Finger Lake
Noah Pereira,49,3/5 11:07:00,16,3/5 15:59:00,16,4h 52m,4h 57m,3/5 06:10:00,8.08,Finger Lake
Lev Shvarts,22,3/5 11:28:00,16,3/5 17:02:00,16,5h 34m,5h 7m,3/5 06:21:00,7.82,Finger Lake
Magnus Kaltenborn,6,3/5 11:18:00,16,3/5 17:03:00,16,5h 45m,5h 6m,3/5 06:12:00,7.84,Finger Lake
Shaynee Traska,5,3/5 13:39:00,16,3/5 17:16:00,16,3h 37m,10h 21m,3/5 03:18:00,3.86,Finger Lake
Marcelle Fressineau,35,3/5 12:57:00,14,3/5 17:17:00,14,4h 20m,5h 17m,3/5 07:40:00,7.57,Finger Lake
Misha Wiljes,19,3/5 12:11:00,14,3/5 17:18:00,14,5h 7m,5h 3m,3/5 07:08:00,7.92,Finger Lake
Monica Zappa,48,3/5 11:27:00,16,3/5 17:25:00,16,5h 58m,5h 8m,3/5 06:19:00,7.79,Finger Lake
Andrew Nolan,56,3/5 12:08:00,16,3/5 17:30:00,15,5h 22m,4h 53m,3/5 07:15:00,8.19,Finger Lake
Steve Watkins,59,3/5 12:13:00,16,3/5 17:42:00,16,5h 29m,5h 44m,3/5 06:29:00,6.98,Finger Lake
Dave Delcourt,57,3/5 13:04:00,16,3/5 19:06:00,16,6h 2m,5h 20m,3/5 07:44:00,7.50,Finger Lake
Anja Radano,24,3/5 13:44:00,16,3/5 19:15:00,16,5h 31m,5h 20m,3/5 08:24:00,7.50,Finger Lake
Jason Stewart,66,3/5 14:08:00,16,3/5 19:29:00,16,5h 21m,5h 13m,3/5 08:55:00,7.67,Finger Lake
Tim Muto,42,3/5 14:34:00,14,3/5 20:13:00,13,5h 39m,5h 7m,3/5 09:27:00,7.82,Finger Lake
Scott White,62,3/5 14:11:00,16,3/5 20:29:00,14,6h 18m,5h 1m,3/5 09:10:00,7.97,Finger Lake
Peter Fleck,67,3/5 15:45:00,16,3/5 20:38:00,15,4h 53m,5h 5m,3/5 10:40:00,7.87,Finger Lake
Tara Cicatello,44,3/5 21:28:00,14,3/5 22:13:00,13,0h 45m,9h 5m,3/5 12:23:00,4.40,Finger Lake
Tom Schonberger,25,3/5 17:40:00,16,3/5 22:23:00,16,4h 43m,7h 10m,3/5 10:30:00,5.58,Finger Lake
Jessie Holmes,41,3/5 12:12:00,16,3/5 12:28:00,16,0h 16m,3h 39m,3/5 08:33:00,8.22,Rainy Pass
Richie Diehl,29,3/5 13:22:00,16,3/5 13:28:00,16,0h 6m,3h 30m,3/5 09:52:00,8.57,Rainy Pass
Wade Marrs,11,3/5 12:04:00,15,3/5 14:51:00,15,2h 47m,3h 30m,3/5 08:34:00,8.57,Rainy Pass
Ryan Redington,7,3/5 11:51:00,16,3/5 14:54:00,14,3h 3m,3h 27m,3/5 08:24:00,8.70,Rainy Pass
Nicolas Petit,46,3/5 10:55:00,16,3/5 15:10:00,16,4h 15m,3h 17m,3/5 07:38:00,9.14,Rainy Pass
Ray Redington Jr,17,3/5 10:16:00,16,3/5 15:18:00,16,5h 2m,3h 39m,3/5 06:37:00,8.22,Rainy Pass
Mitch Seavey,13,3/5 10:19:00,15,3/5 15:18:00,14,4h 59m,3h 21m,3/5 06:58:00,8.96,Rainy Pass
