musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder
Linwood Fiedler,8,3/4 22:39:00,16,3/4 22:45:00,16,0h 6m,4h 34m,3/4 18:05:00,6.57,Skwentna,2018-03-04T22:39:00Z,2018-03-04T22:45:00Z,2018-03-04T18:05:00Z,274,6,0,0,9,10
Nicolas Petit,46,3/4 22:45:00,16,3/4 23:13:00,16,0h 28m,3h 5m,3/4 19:40:00,9.73,Skwentna,2018-03-04T22:45:00Z,2018-03-04T23:13:00Z,2018-03-04T19:40:00Z,185,28,0,0,11,2
Peter Kaiser,30,3/4 23:43:00,16,3/4 23:52:00,16,0h 9m,4h 51m,3/4 18:52:00,6.19,Skwentna,2018-03-04T23:43:00Z,2018-03-04T23:52:00Z,2018-03-04T18:52:00Z,291,9,0,0,22,5
Cody Strathe,2,3/5 00:22:00,16,3/5 00:25:00,16,0h 3m,6h 28m,3/4 17:54:00,4.64,Skwentna,2018-03-05T00:22:00Z,2018-03-05T00:25:00Z,2018-03-04T17:54:00Z,388,3,0,0,27,29
Ryan Redington,7,3/4 21:59:00,16,3/5 01:00:00,16,3h 1m,2h 53m,3/4 19:06:00,10.4,Skwentna,2018-03-04T21:59:00Z,2018-03-05T01:00:00Z,2018-03-04T19:06:00Z,173,181,0,0,4,NA
Wade Marrs,11,3/4 22:15:00,16,3/5 01:00:00,16,2h 45m,3h 4m,3/4 19:11:00,9.78,Skwentna,2018-03-04T22:15:00Z,2018-03-05T01:00:00Z,2018-03-04T19:11:00Z,184,165,0,0,6,NA
Richie Diehl,29,3/5 01:02:00,16,3/5 01:07:00,16,0h 5m,6h 10m,3/4 18:52:00,4.86,Skwentna,2018-03-05T01:02:00Z,2018-03-05T01:07:00Z,2018-03-04T18:52:00Z,370,5,0,0,30,6
Anna Berington,4,3/5 01:06:00,16,3/5 01:11:00,16,0h 5m,6h 58m,3/4 18:08:00,4.31,Skwentna,2018-03-05T01:06:00Z,2018-03-05T01:11:00Z,2018-03-04T18:08:00Z,418,5,0,0,32,22
Joar Leifseth Ulsom,33,3/5 01:13:00,16,3/5 01:18:00,16,0h 5m,6h 8m,3/4 19:05:00,4.89,Skwentna,2018-03-05T01:13:00Z,2018-03-05T01:18:00Z,2018-03-04T19:05:00Z,368,5,0,0,33,1
Rick Casillo,9,3/5 01:15:00,16,3/5 01:27:00,16,0h 12m,6h 49m,3/4 18:26:00,4.4,Skwentna,2018-03-05T01:15:00Z,2018-03-05T01:27:00Z,2018-03-04T18:26:00Z,409,12,0,0,35,27
Robert Redington,34,3/5 01:31:00,16,3/5 01:33:00,16,0h 2m,6h 14m,3/4 19:17:00,4.81,Skwentna,2018-03-05T01:31:00Z,2018-03-05T01:33:00Z,2018-03-04T19:17:00Z,374,2,0,0,39,NA
Mats Pettersson,3,3/4 21:32:00,16,3/5 01:35:00,16,4h 3m,3h 20m,3/4 18:12:00,9,Skwentna,2018-03-04T21:32:00Z,2018-03-05T01:35:00Z,2018-03-04T18:12:00Z,200,243,0,0,2,18
Michelle Phillips,18,3/5 01:24:00,16,3/5 01:35:00,16,0h 11m,6h 45m,3/4 18:39:00,4.44,Skwentna,2018-03-05T01:24:00Z,2018-03-05T01:35:00Z,2018-03-04T18:39:00Z,405,11,0,0,37,19
Alan Eischens,53,3/5 01:32:00,16,3/5 01:42:00,16,0h 10m,3h 0m,3/4 22:32:00,10,Skwentna,2018-03-05T01:32:00Z,2018-03-05T01:42:00Z,2018-03-04T22:32:00Z,180,10,0,0,40,NA
Mitch Seavey,13,3/4 21:39:00,16,3/5 01:43:00,15,4h 4m,3h 9m,3/4 18:30:00,9.52,Skwentna,2018-03-04T21:39:00Z,2018-03-05T01:43:00Z,2018-03-04T18:30:00Z,189,244,1,0,3,3
Ray Redington Jr,17,3/4 21:31:00,16,3/5 01:45:00,16,4h 14m,3h 2m,3/4 18:29:00,9.89,Skwentna,2018-03-04T21:31:00Z,2018-03-05T01:45:00Z,2018-03-04T18:29:00Z,182,254,0,0,1,4
Kristy Berington,20,3/5 01:45:00,16,3/5 01:49:00,16,0h 4m,7h 3m,3/4 18:42:00,4.26,Skwentna,2018-03-05T01:45:00Z,2018-03-05T01:49:00Z,2018-03-04T18:42:00Z,423,4,0,0,42,36
Aaron Burmeister,64,3/5 01:52:00,16,3/5 01:56:00,16,0h 4m,5h 45m,3/4 20:07:00,5.22,Skwentna,2018-03-05T01:52:00Z,2018-03-05T01:56:00Z,2018-03-04T20:07:00Z,345,4,0,0,43,12
